Sample	chain	n	File	Kit	Individual	Replicate	prop
Parse_v2_F1	TRA;TRA;TRB	678	B1-PA-F1	Parse_v2	F1	A	0.0403691574873474
Parse_v2_F1	TRA;TRB;TRB	371	B1-PA-F1	Parse_v2	F1	A	0.0220899077106282
Parse_v2_F1	TRA;TRA	402	B1-PA-F1	Parse_v2	F1	A	0.0239356951473653
Parse_v2_F1	TRB;TRB	289	B1-PA-F1	Parse_v2	F1	A	0.0172075022328074
Parse_v2_F1	TRA;TRA;TRB;TRB	223	B1-PA-F1	Parse_v2	F1	A	0.0132777612384638
Parse_v2_F2	TRA;TRB	6777	B1-PA-F2	Parse_v2	F2	A	0.362174005985464
Parse_v2_F2	TRA	3930	B1-PA-F2	Parse_v2	F2	A	0.210025651988029
Parse_v2_F2	TRB	4688	B1-PA-F2	Parse_v2	F2	A	0.250534416417272
Parse_v2_F2	TRA;TRA;TRB	1011	B1-PA-F2	Parse_v2	F2	A	0.0540294997862334
Parse_v2_F2	TRA;TRB;TRB	470	B1-PA-F2	Parse_v2	F2	A	0.0251175716117999
Parse_v2_F2	TRA;TRA	491	B1-PA-F2	Parse_v2	F2	A	0.0262398460880718
Parse_v2_F2	TRB;TRB	234	B1-PA-F2	Parse_v2	F2	A	0.0125053441641727
Parse_v2_F2	TRA;TRA;TRB;TRB	280	B1-PA-F2	Parse_v2	F2	A	0.0149636596836255
Parse_v2_F4	TRA;TRB	5642	B1-PA-F4	Parse_v2	F4	A	0.328692106029712
Parse_v2_F4	TRA	2840	B1-PA-F4	Parse_v2	F4	A	0.165452956597728
Parse_v2_F4	TRB	4894	B1-PA-F4	Parse_v2	F4	A	0.285115059714535
Parse_v2_F4	TRA;TRA;TRB	700	B1-PA-F4	Parse_v2	F4	A	0.0407806583163414
Parse_v2_F4	TRA;TRB;TRB	393	B1-PA-F4	Parse_v2	F4	A	0.0228954267404602
Parse_v2_F4	TRA;TRA	320	B1-PA-F4	Parse_v2	F4	A	0.0186425866588989
Parse_v2_F4	TRB;TRB	277	B1-PA-F4	Parse_v2	F4	A	0.0161374890766094
Parse_v2_F4	TRA;TRA;TRB;TRB	141	B1-PA-F4	Parse_v2	F4	A	0.00821438974657734
Parse_v2_F5	TRA;TRB	5470	B1-PA-F5	Parse_v2	F5	A	0.314783909765782
Parse_v2_F5	TRA	3105	B1-PA-F5	Parse_v2	F5	A	0.178684467974909
Parse_v2_F5	TRB	4002	B1-PA-F5	Parse_v2	F5	A	0.230304425389883
Parse_v2_F5	TRA;TRA;TRB	712	B1-PA-F5	Parse_v2	F5	A	0.0409737008689647
Parse_v2_F5	TRA;TRB;TRB	310	B1-PA-F5	Parse_v2	F5	A	0.0178396731311504
Parse_v2_F5	TRA;TRA	352	B1-PA-F5	Parse_v2	F5	A	0.0202566611037578
Parse_v2_F5	TRB;TRB	191	B1-PA-F5	Parse_v2	F5	A	0.0109915405420959
Parse_v2_F5	TRA;TRA;TRB;TRB	135	B1-PA-F5	Parse_v2	F5	A	0.00776888991195258
