contrast	pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	name	kit	comp	sig
NextGEM3P.M.vs.B	BIOCARTA_TCR_PATHWAY	0.0207961972667855	0.065071972092845	0.543981389616086	1.51423493475133	69	43	FYN;MAP2K1;RAC1;PRKCA;PIK3R1;GRB2;RAF1;CALM2;FOS;CALM3;NFKBIA;PIK3CG;MAP3K1;VAV1	TCR	NextGEM3P	Monocytes vs B cells	NA
Parse_v3.B.vs.T	BIOCARTA_BCR_PATHWAY	0.0357775416223875	0.416450584484591	0.596143376622936	1.50361281189113	100	32	PRKCB;LYN;SYK;PPP3CA;GRB2;CD79A;BTK;MAP3K1;CD79B;PPP3CC;NFATC1	BCR	Parse_v3	B cells vs T cells	NA
Parse_v3.B.vs.T	BIOCARTA_MONOCYTE_PATHWAY	0.0549450549450549	0.481410855454247	-0.725011297610577	-1.52049314408404	129	10	ITGAL;ITGB2;CD44;ITGB1	MONOCYTE	Parse_v3	B cells vs T cells	NA
Parse_v3.B.vs.T	BIOCARTA_TCR_PATHWAY	0.0060634328358209	0.135727611940299	-0.605207264758937	-1.71707676141341	12	43	CD247;FYN;PIK3R1;PRKCA;PLCG1;LCK;ZAP70;CD3E;CALM1;CD3G;LAT;CD3D;NFATC2;NFATC3;CALM3;PTPN7	TCR	Parse_v3	B cells vs T cells	NA
Parse_v3.T.vs.M	BIOCARTA_BCR_PATHWAY	0.0761961015948021	0.211172052991309	-0.535706365053476	-1.38837879397582	257	32	LYN;SYK;GRB2;PRKCB;MAP2K1;RAC1;MAPK14;MAP3K1;JUN;PPP3CA;BTK;RAF1;CALM2;FOS	BCR	Parse_v3	T cells vs Monocytes	NA
Parse_v3.T.vs.M	BIOCARTA_MONOCYTE_PATHWAY	0.013758389261745	0.100092281879195	-0.780699274955401	-1.60001428901205	40	10	PECAM1;ITGB2;ICAM1;ITGAM;CD44	MONOCYTE	Parse_v3	T cells vs Monocytes	NA
Parse_v3.T.vs.M	BIOCARTA_TCR_PATHWAY	0.0281870595771941	0.125974025974026	0.46847500456829	1.46570710476782	43	43	CD247;NFATC2;PPP3CC;PLCG1;LCK;PIK3R1;ZAP70;CALM1;PRKCA;CD3E;CD3G;NFATC3;FYN;LAT	TCR	Parse_v3	T cells vs Monocytes	NA
Parse_v3.M.vs.B	BIOCARTA_BCR_PATHWAY	0.46687898089172	0.598510059204804	0.379599005088223	0.997128127665778	1465	32	MAP2K1;PRKCA;MAPK14;RAC1;JUN;FOS;GRB2;RAF1;CALM2;CALM3	BCR	Parse_v3	Monocytes vs B cells	NA
Parse_v3.M.vs.B	BIOCARTA_MONOCYTE_PATHWAY	0.00174520069808028	0.0282140779522978	0.864726902274016	1.77725112931322	4	10	ITGB2;PECAM1;CD44;ITGAL;ICAM1;ITGAM;ITGB1	MONOCYTE	Parse_v3	Monocytes vs B cells	*
Parse_v3.M.vs.B	BIOCARTA_TCR_PATHWAY	0.158789002162496	0.31867310089163	0.450202842083602	1.24455956311977	513	43	NFKBIA;FYN;MAP2K1;PRKCA;PIK3R1;RAC1;JUN;FOS;GRB2;RAF1;CALM2;CALM3	TCR	Parse_v3	Monocytes vs B cells	NA
Scale.B.vs.T	BIOCARTA_BCR_PATHWAY	0.00135869565217391	0.0504472644060745	0.706381494631259	1.80019578736843	3	32	LYN;SYK;PRKCB;BTK;PPP3CA;GRB2;CD79B;CD79A;NFATC1;MAP3K1	BCR	Scale	B cells vs T cells	NA
Scale.B.vs.T	BIOCARTA_MONOCYTE_PATHWAY	0.0316428261811877	0.300815656065026	-0.723080296924914	-1.56142868835002	72	11	ITGAL;ITGB2;CD44;ITGB1;ITGA4	MONOCYTE	Scale	B cells vs T cells	NA
Scale.B.vs.T	BIOCARTA_TCR_PATHWAY	0.0431253170979198	0.323076158281965	-0.484888379112238	-1.42532685041566	84	43	FYN;PIK3R1;PRKCA;LAT;CALM1;CD3G;CD247;CALM3;ZAP70;PTPN7;LCK;CD3E;CD3D;PLCG1;NFATC3;MAPK8;FOS	TCR	Scale	B cells vs T cells	NA
Scale.T.vs.M	BIOCARTA_BCR_PATHWAY	0.023838261919131	0.110488452069623	-0.583751053851856	-1.51327628152862	78	33	LYN;SYK;GRB2;MAP2K1;PRKCB;RAC1;BTK;MAP3K1;JUN;MAPK14;FOS;RAF1;PPP3CA;CALM2	BCR	Scale	T cells vs Monocytes	NA
Scale.T.vs.M	BIOCARTA_MONOCYTE_PATHWAY	0.026403743315508	0.116816561335278	-0.749965241716785	-1.5540544306918	78	11	PECAM1;ITGB2;ICAM1;ITGAM;CD44	MONOCYTE	Scale	T cells vs Monocytes	NA
Scale.T.vs.M	BIOCARTA_TCR_PATHWAY	0.379632331485264	0.58488213391973	-0.386043087005922	-1.0505324989185	1300	44	NFKBIA;GRB2;MAP2K1;PRKCB;RAC1;PIK3CG;MAP3K1;JUN;FOS;RAF1	TCR	Scale	T cells vs Monocytes	NA
Scale.M.vs.B	BIOCARTA_BCR_PATHWAY	0.538308457711443	0.668876892135069	0.362203073745059	0.949311523571734	1622	32	MAP2K1;RAC1;FOS;MAPK14;JUN;CALM3;CALM2;RAF1;PRKCA;GRB2	BCR	Scale	Monocytes vs B cells	NA
Scale.M.vs.B	BIOCARTA_MONOCYTE_PATHWAY	0.000730460189919649	0.0193903977687761	0.857519629006391	1.7957837006392	1	11	ITGB2;PECAM1;ICAM1;ITGAM;ITGAL;CD44;ITGB1	MONOCYTE	Scale	Monocytes vs B cells	*
Scale.M.vs.B	BIOCARTA_TCR_PATHWAY	0.121340273259597	0.272548921475402	0.464384148216041	1.28678022639501	372	43	NFKBIA;FYN;MAP2K1;RAC1;PIK3R1;FOS;JUN;CALM3;CALM2;RAF1;PRKCA;GRB2;PIK3CG	TCR	Scale	Monocytes vs B cells	NA
